Count,SL.,SP.,NSP.,NE.,SM.,FR.,OF.,RES.,IR.,PH.,RP.,GS.,FG.,OG.,sub_no,clusters,,,
28,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,SL.GS.SM.PH.,,,
28,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,SL.FG.SM.PH.,,,
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
88,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
24,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
7,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
14,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
82,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
7,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,SL.GS.SM.PH.,,,
21,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
69,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
10,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
32,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
24,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
20,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,SP.GS.FR.PH.,,,
29,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,SP.FG.FR.PH.,,,
5,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,SP.FG.OF.PH.,,,
9,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,SL.FG.OF.PH.,,,
95,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
27,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
45,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,SP.GS.FR.PH.,,,
25,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,SP.FG.FR.PH.,,,
8,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,SP.FG.OF.PH.,,,
8,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,SL.FG.OF.PH.,,,
40,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,SP.FG.OF.PH.,,,
4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
73,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
93,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
12,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
39,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
6,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
22,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
23,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
18,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
30,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
41,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,SL.GS.SM.PH.,,,
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2,SL.GS.SM.IR.,,,
132,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
61,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
85,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,NSP.FG.NE.PH.,,,
12,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
45,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
32,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
117,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
12,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
92,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
11,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
19,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
8,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
104,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
27,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
116,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
29,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
8,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
35,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
33,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
54,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
17,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
15,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
21,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,SL.FG.SM.PH.,,,
144,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
22,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
25,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
16,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
66,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
15,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
9,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
94,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
373,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
20,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
36,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
18,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
24,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,SP.GS.NE.PH.,,,
18,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
27,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
40,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,SP.FG.OF.PH.,,,
64,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,SL.FG.OF.PH.,,,
28,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,SP.FG.OF.PH.,,,
29,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
38,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
27,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,SP.FG.NE.PH.,,,
49,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
11,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,SL.FG.NE.PH.,,,
23,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,SL.GS.NE.PH.,,,
82,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,SL.FG.NE.IR.,,,
41,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,SL.GS.NE.RP.,,,
23,0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,SP.GS.NE.PH.,,,
16,0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,SP.GS.NE.PH.,,,
53,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,SL.GS.NE.PH.,,,
19,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,SL.GS.NE.PH.,,,
65,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
33,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,SL.FG.SM.PH.,,,
150,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,SL.GS.NE.PH.,,,
39,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
20,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
41,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
86,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
38,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
34,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,SL.GS.NE.PH.,,,
180,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
186,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
13,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
115,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
25,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
9,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,SL.FG.SM.PH.,,,
309,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,SL.FG.SM.PH.,,,
26,0,1,0,0,1,0,0,0,0,1,0,0,1,0,3,SP.FG.SM.PH.,,,
